年,月,日,时,分,秒,秒,索引点,X,Y,Z,,温度,电池电压,Ts,N,Xk0,Xk1,Yk0,Yk1,Zk0,Zk1
,,,,,,,,,,,,,,采样周期,点数,,,,,,
2018,12,11,11,25,6,0,0,1.646777,1.476782,1.554932,,20.1,2.451,0.1,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0.1,1,1.646777,1.477588,1.55332,,20.1,2.452,0.1,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0.2,2,1.646777,1.475977,1.55332,,20.2,2.451,0.1,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0.3,3,1.646777,1.477588,1.554126,,20.1,2.451,0.1,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0.4,4,1.646777,1.475977,1.554932,,20.1,2.453,0.1,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0.5,5,1.646777,1.475977,1.554932,,20.2,2.451,0.1,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0.6,6,1.646777,1.476782,1.55332,,20.2,2.451,0.1,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0.7,7,1.646777,1.476782,1.554932,,20.2,2.45,0.1,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0.8,8,1.646777,1.476782,1.554126,,20.1,2.451,0.1,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0.9,9,1.646777,1.476782,1.554126,,20.1,2.451,10,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0,10,1.645972,1.475977,1.554126,,20.1,2.451,0.1,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0.1,11,1.646777,1.476782,1.554932,,20.1,2.452,0.1,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0.2,12,1.645972,1.477588,1.55332,,20.2,2.451,0.1,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0.3,13,1.646777,1.476782,1.55332,,20.1,2.451,0.1,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0.4,14,1.646777,1.476782,1.554126,,20.1,2.453,0.1,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0.5,15,1.645972,1.475977,1.554932,,20.2,2.451,0.1,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0.6,16,1.646777,1.475977,1.554126,,20.2,2.451,0.1,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0.7,17,1.646777,1.475171,1.554126,,20.2,2.45,0.1,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0.8,18,1.646777,1.476782,1.554126,,20.1,2.451,0.1,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0.9,19,1.646777,1.476782,1.554126,,20.1,2.451,10,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,1,20,1.645972,1.477588,1.554126,,20.1,2.451,10,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0.1,21,1.646777,1.476782,1.554126,,20.1,2.452,0.1,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0.2,22,1.646777,1.476782,1.55332,,20.2,2.451,0.1,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0.3,23,1.646777,1.476782,1.55332,,20.1,2.451,0.1,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0.4,24,1.646777,1.476782,1.554126,,20.1,2.453,0.1,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0.5,25,1.646777,1.476782,1.554126,,20.2,2.451,0.1,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0.6,26,1.646777,1.476782,1.554932,,20.2,2.451,0.1,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0.7,27,1.646777,1.476782,1.55332,,20.2,2.45,0.1,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0.8,28,1.645972,1.476782,1.554126,,20.1,2.451,0.1,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0.9,29,1.646777,1.476782,1.55332,,20.1,2.451,10,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0,30,1.645972,1.476782,1.554932,,20.1,2.451,0.1,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0.1,31,1.646777,1.475977,1.554126,,20.1,2.452,0.1,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0.2,32,1.645972,1.476782,1.554126,,20.2,2.451,0.1,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0.3,33,1.646777,1.476782,1.554126,,20.1,2.451,0.1,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0.4,34,1.645972,1.475977,1.55332,,20.1,2.453,0.1,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0.5,35,1.646777,1.476782,1.554126,,20.2,2.451,0.1,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0.6,36,1.646777,1.476782,1.554126,,20.2,2.451,0.1,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0.7,37,1.646777,1.476782,1.55332,,20.2,2.45,0.1,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0.8,38,1.645972,1.477588,1.554126,,20.1,2.451,0.1,10,1.75,0.174,1.6,0.174,1.6,0.174
2018,12,11,11,25,6,0.9,39,1.646777,1.476782,1.55332,,20.1,2.451,10,10,1.75,0.174,1.6,0.174,1.6,0.174
